epoch,train_pixel,train_grad,train_ssim,train_total,val_pixel,val_grad,val_ssim,val_total
1,0.4583938350401842,0.5892019122858396,0.9553332820892085,1.2306614319431646,0.1987617630852944,0.12705408167966514,0.9242098674997535,0.7243937380809162
2,0.17476781798338242,0.11215256975538353,0.9312924260392055,0.6964903153921939,0.19783867755999632,0.08221812616434335,0.9399289047523817,0.7089121929254163
3,0.15951707761839606,0.09002246843248886,0.9260284516249508,0.6675425379287463,0.1558096052399721,0.07186587544465381,0.9119302316620005,0.647707657877151
4,0.15656683345182534,0.08510383081790429,0.9266483541947087,0.6624429256221177,0.17422452840627817,0.07155076203423945,0.9251541927487205,0.6725770058432811
5,0.1468247082472873,0.08099538968085497,0.919819035141013,0.6472319205902416,0.15175299857820854,0.06356907459525979,0.8927177779543424,0.6298964259095202
6,0.16735276925970913,0.0901300226249834,0.9376177841232268,0.6812266723424725,0.1779758017320497,0.07177781713500528,0.9368630547508932,0.6822962373677194
7,0.14882799985743786,0.08208029311464962,0.9203807810890537,0.6500585376284045,0.17598766558888973,0.06938379100484056,0.9316486105656673,0.6765038667895401
8,0.14428387851113447,0.07896363934670984,0.914562858058464,0.6410471272884991,0.16180748245138257,0.06560983322940145,0.920888628347828,0.655056713251378
9,0.15428920529541928,0.08618506615567754,0.9227261921940556,0.6587448346198413,0.17041053410520865,0.0711321200295342,0.934356735400901,0.6731549616743736
10,0.15555229673707882,0.08424022747252265,0.9172261053690448,0.656285462836901,0.17998204736869836,0.07221954377736069,0.9193745091587852,0.6757790733379162
11,0.15568152964464754,0.08569701692444875,0.9137768226911676,0.6554184495252912,0.1571732123672598,0.07880553696873596,0.90476168561613,0.6489568245265246
12,0.15260113299483427,0.08106607195413336,0.915774489639325,0.6510214137303817,0.18458471834173998,0.07196685818238317,0.9121561786065033,0.6766462363075093
13,0.1449115916686492,0.07943158612486531,0.9114274929226128,0.6403411317138901,0.17760515923169867,0.08232997379089324,0.9274088477529965,0.6824745703981753
14,0.1474438552454316,0.0794149150108536,0.9083062732617475,0.6413044495210907,0.18697641060029416,0.08286932294395451,0.923912844201455,0.6903674933915226
15,0.18535287306295384,0.10667804625502965,0.9208790876507387,0.6991314402586228,0.19583817559262157,0.09044774803816666,0.9043038583335954,0.6932139774811
16,0.17996033965546843,0.09823803625596887,0.9334974423812253,0.6958280788254813,0.15595743258895312,0.07422099728326934,0.9106256681401472,0.6483807662718165
17,0.15544544387612652,0.08612512028363375,0.9144471680067627,0.6557315881825339,0.3884154745736093,0.18205540076414098,0.9193667264431411,0.9391265394367171
18,0.15857082864656127,0.10078127615394632,0.9252121500880676,0.6715675414354386,0.17562052287358615,0.09317264728657826,0.9381471657461644,0.6912804300576266
19,0.14562617203102246,0.08328191315458079,0.9125957780200075,0.6435650176406528,0.4563770720890729,0.18632232161075665,0.9344261329916975,1.0167512999896848
20,0.14898549285994084,0.08125424724386868,0.9105299336600726,0.6448775836119935,0.16855088135800392,0.07079408510517929,0.9035340088690856,0.655714928375485
